	AveExpr	Coef	t	P.value	P.value.adj	Results
AT4G17090	9.79862	0.231562	0	0.65939534	0.908861887	0
AT4G16920	7.99007	-1.077839	-1.5359	0.07473739	0.306087407	0
AT4G08850	7.97769	0.075355	0	0.91762721	0.999999999	0
AT4G05180	10.74773	0.949683	2.65346	0.0074935	0.066619004	1
AT4G16890	7.23103	-3.307902	-3.52691	0.00118267	0.016859245	-1
AT4G22690	8.36791	-0.66643	-0.91872	0.19217957	0.503238244	0
AT4G05320	9.9146	-0.444545	-0.56875	0.28876744	0.61993894	0
AT4G16980	9.03329	1.373575	2.15531	0.02267063	0.141255443	0
AT4G27090	8.26592	0.344893	0.04452	0.58763922	0.849978152	0
AT4G03280	11.57033	0.358483	0.28521	0.38917077	0.70668691	0
AT4G26530	9.1045	-0.089642	0	0.86856526	0.98626803	0
AT4G19410	7.86599	-1.955902	-2.99455	0.00370472	0.040309535	-1
AT4G12800	12.36627	0.846705	4.15659	0.00022849	0.004899081	1
AT4G35250	8.37952	0.572582	0.44946	0.39079842	0.706928162	0
AT4G02770	12.0197	0.702595	3.05578	0.0030314	0.034529508	1
AT4G28080	10.65297	0.023566	0	0.97867499	0.999999999	0
AT4G24690	8.20876	-1.26379	-1.89016	0.03866467	0.201940974	0
AT4G18480	8.59929	0.526202	0.43404	0.37741385	0.696543528	0
AT4G26690	8.94889	1.051634	1.71246	0.0529245	0.247320237	0
AT4G26630	8.61344	-0.178813	0	0.73784509	0.94882709	0
AT4G31500	8.13797	-1.341705	-2.16503	0.02210466	0.139464134	0
AT4G35830	9.34663	-0.631648	-1.26346	0.11065174	0.377154656	0
AT4G35800	8.77475	-0.03132	0	0.95402672	0.999999999	0
AT4G10120	8.32948	-0.714081	-0.99898	0.17237828	0.476823146	0
AT4G39260	8.37308	0.052471	0	0.92736968	0.999999999	0
AT4G03520	9.38929	-0.332436	-0.03876	0.49729646	0.788106789	0
AT4G19520	8.52649	-0.208199	0	0.69424239	0.928066939	0
AT4G27440	9.30077	1.711861	3.43144	0.00129959	0.017875459	1
AT4G39090	9.24865	0.194716	0	0.7124576	0.935822683	0
AT4G39080	8.49784	-0.79641	-1.3405	0.09968142	0.356214482	0
AT4G34350	9.29527	-0.323978	-0.00648	0.52442842	0.81214323	0
AT4G13940	10.2307	-0.558064	-1.09386	0.14355745	0.434173839	0
AT4G02480	8.03329	-0.959265	-1.37388	0.09796015	0.353529465	0
AT4G13770	8.63407	-0.317407	0	0.54299348	0.81214323	0
AT4G38970	12.99626	-0.04789	0	0.99759168	0.999999999	0
AT4G12420	7.78205	-1.519749	-2.13235	0.02436495	0.146931103	0
AT4G20360	11.67067	0.216735	0	0.79823528	0.976364959	0
AT4G30920	8.17202	-0.746372	-1.05583	0.15901026	0.458175821	0
AT4G30950	9.60045	-0.251577	0	0.62802588	0.88784929	0
AT4G29060	10.37551	0.191307	0	0.74529336	0.953190984	0
AT4G28750	11.12169	1.330027	5.17847	2.047e-05	0.000552598	1
AT4G34110	9.41641	-0.523806	-0.84626	0.204506	0.509604659	0
AT4G34100	8.20814	-0.389184	-0.15301	0.50033655	0.791204654	0
AT4G34050	7.49981	-0.64747	-0.42976	0.44328714	0.744599826	0
AT4G34150	9.2984	0.137971	0	0.7979457	0.976364959	0
AT4G02510	10.08755	0.091463	0	0.87304866	0.989817218	0
AT4G02520	10.23411	-1.257267	-5.07798	2.587e-05	0.000673603	-1
AT4G34190	8.36033	0.731481	0.69269	0.29282171	0.623429238	0
AT4G09010	8.34695	-0.655188	-0.90275	0.1961022	0.503238244	0
AT4G16190	9.08679	-0.51167	-0.67398	0.25764541	0.583302801	0
AT4G08950	10.3562	0.081964	0	0.90449423	0.999999999	0
AT4G30440	9.23008	0.298855	0	0.5540755	0.819312456	0
AT4G16370	8.53077	-1.038087	-2.14644	0.02219182	0.139464134	0
AT4G20830	8.58692	-0.133011	0	0.80469214	0.979682831	0
AT4G20850	8.49595	-0.155619	0	0.7751926	0.969828604	0
AT4G01310	9.13537	-0.035108	0	0.94866917	0.999999999	0
AT4G17560	8.27519	-0.00278	0	0.99618873	0.999999999	0
AT4G27520	9.37426	0.055144	0	0.92334257	0.999999999	0
AT4G25100	7.76299	-1.03202	-1.16759	0.1467212	0.434795737	0
AT4G19530	8.44866	-0.689771	-0.98099	0.17573313	0.479044951	0
AT4G25080	8.78262	0.597792	0.7552	0.23936221	0.555716727	0
AT4G27500	8.65382	0.183113	0	0.73379486	0.948468883	0
AT4G38550	9.73709	-0.123815	0	0.82604193	0.98225285	0
AT4G23100	8.39478	-0.319699	0	0.54590434	0.81214323	0
AT4G25130	8.84865	0.184051	0	0.72873537	0.945281288	0
AT4G38770	9.34388	0.339201	0.06646	0.48333233	0.773822823	0
AT4G01150	10.54188	-0.140757	0	0.85598146	0.982693676	0
AT4G27280	8.08387	1.592508	1.10368	0.196868	0.503238244	0
AT4G38740	7.96573	1.172561	0.94843	0.23226018	0.547628749	0
AT4G01050	9.39577	-0.152397	0	0.77825752	0.969828604	0
AT4G13430	8.78644	-0.695024	-1.24335	0.1152085	0.385261458	0
AT4G33300	8.25351	0.888567	0.79735	0.26886425	0.601233252	0
AT4G15545	8.31783	1.407408	1.41179	0.10417081	0.365941293	0
AT4G27800	8.42305	-0.150316	0	0.78254364	0.97350566	0
AT4G32060	8.61624	-0.069725	0	0.89849992	0.999999999	0
AT4G37930	12.84228	-0.375957	-0.58482	0.28248891	0.615001974	0
AT4G23850	8.74818	-0.815917	-1.42023	0.08704526	0.330499976	0
AT4G10340	13.08699	0.865594	5.7613	5.34e-06	0.000176968	1
AT4G13340	11.33859	0.310767	0	0.53160631	0.81214323	0
AT4G15560	9.48452	-0.50624	-0.73051	0.23842491	0.555693407	0
AT4G34450	8.20327	-0.468586	-0.33469	0.41349918	0.721150477	0
AT4G05050	8.91396	0.800573	1.34648	0.09873966	0.354587239	0
AT4G13510	8.94709	-1.273328	-3.49549	0.00109728	0.016324877	-1
AT4G21960	10.52684	-0.301166	0	0.54660684	0.81214323	0
AT4G39800	8.19484	0.287948	0	0.659525	0.908861887	0
AT4G34710	8.50345	-0.563492	-0.6966	0.25620509	0.581848935	0
AT4G24280	9.57571	0.105689	0	0.85057411	0.98225285	0
AT4G04640	10.81352	-0.086581	0	0.9287919	0.999999999	0
AT4G34830	8.2616	-0.920264	-1.47495	0.08061139	0.321094261	0
AT4G02380	8.13176	-0.233315	0	0.71176896	0.935822683	0
AT4G39970	8.16904	0.461769	0.22513	0.52258147	0.81214323	0
AT4G24220	8.1966	0.39174	0.11998	0.56969383	0.833949395	0
AT4G24190	8.56338	-0.96171	-1.6825	0.05518088	0.256222056	0
AT4G34620	8.64801	0.963303	1.22822	0.1279159	0.407287024	0
AT4G32260	11.4407	0.375221	0.39071	0.35002189	0.671489372	0
AT4G35090	11.45493	-0.331459	-0.07157	0.47185372	0.768681458	0
AT4G30270	8.88808	-0.306094	0	0.56268762	0.828094521	0
AT4G30210	8.59619	-0.608007	-0.89608	0.19444118	0.503238244	0
AT4G24570	8.13032	-0.232007	0	0.70374257	0.931601492	0
AT4G33010	12.46846	-0.456524	-1.33797	0.09769741	0.353529465	0
AT4G35100	9.58075	-0.267128	0	0.59984172	0.86419884	0
AT4G33510	8.82884	-0.501109	-0.58472	0.2894881	0.61993894	0
AT4G32410	8.88285	-0.795326	-1.54496	0.06950723	0.294597486	0
AT4G11150	8.34214	-0.483954	-0.45346	0.34498501	0.665328234	0
AT4G38600	8.31175	-0.325613	-0.00968	0.54811313	0.81214323	0
AT4G14960	8.24723	-0.737414	-0.92804	0.1959278	0.503238244	0
AT4G18010	8.89409	-0.594661	-0.95998	0.1761098	0.479044951	0
AT4G02890	9.60919	-0.550915	-0.91319	0.18695043	0.499219292	0
AT4G20260	8.58402	0.363417	0.09039	0.53965426	0.81214323	0
AT4G21280	11.25879	0.461238	0.85739	0.20056144	0.504983206	0
AT4G09000	8.47551	-0.664067	-0.97957	0.1744304	0.478784243	0
AT4G18810	7.73577	1.064419	0.77181	0.30671243	0.635208422	0
AT4G35450	8.73874	-0.151152	0	0.77821422	0.969828604	0
AT4G25050	8.64402	-0.226616	0	0.66602703	0.91265734	0
AT5G20720	8.68209	0.048986	0	0.92917584	0.999999999	0
AT5G36790	8.97974	0.100089	0	0.85425008	0.98225285	0
AT5G30510	9.77059	-0.118097	0	0.84030203	0.98225285	0
AT5G63570	8.34893	-0.044172	0	0.93763608	0.999999999	0
AT5G08280	8.26574	0.270329	0	0.68573735	0.928066939	0
AT5G06320	9.47109	0.3894	0.25014	0.41022661	0.720614945	0
AT5G65630	8.06963	0.853868	0.6719	0.33080246	0.65023148	0
AT5G06290	8.80775	0.525637	0.57634	0.29828827	0.628593846	0
AT5G62000	8.61174	-0.719583	-1.1308	0.13927964	0.426617059	0
AT5G44340	8.05676	-0.702524	-0.76644	0.25195295	0.578133424	0
AT5G66570	13.64379	0.137004	0	0.98839463	0.999999999	0
AT5G03240	9.28832	-0.111546	0	0.84307507	0.98225285	0
AT5G36700	8.97974	0.100089	0	0.85425008	0.98225285	0
AT5G58120	7.71292	-2.254606	-3.20854	0.0023048	0.028003357	-1
AT5G65620	8.39598	0.012674	0	0.98270948	0.999999999	0
AT5G60390	11.43482	-0.318411	0	0.51104747	0.802483764	0
AT5G19510	7.89086	-1.084276	-1.53849	0.07449082	0.306087407	0
AT5G47210	8.73849	-0.138589	0	0.79629311	0.976364959	0
AT5G54270	12.05128	1.1727	6.84178	4.9e-07	2.7539e-05	1
AT5G39570	9.12892	0.63366	0.91958	0.18936453	0.500837941	0
AT5G45390	8.30248	0.263669	0	0.68709871	0.928066939	0
AT5G03940	8.27651	-0.660129	-0.74687	0.25270617	0.578133424	0
AT5G42530	11.0991	-0.222092	0	0.75184255	0.955184594	0
AT5G42390	9.03364	-0.953343	-2.37775	0.01361142	0.104449767	0
AT5G47560	8.30325	-0.718088	-1.03415	0.16302002	0.466045479	0
AT5G19770	8.70373	0.377283	0.13146	0.50426566	0.793973359	0
AT5G19760	8.47406	-0.477603	-0.42497	0.35797517	0.674325314	0
AT5G19780	7.22951	-2.417663	-2.55817	0.01076909	0.090237566	-1
AT5G39740	8.31727	-0.94912	-1.64747	0.05884279	0.266437226	0
AT5G67030	9.64151	0.222147	0	0.67567042	0.921340103	0
AT5G21940	8.01749	0.578923	0.35934	0.47238586	0.768681458	0
AT5G20700	8.05088	-1.780767	-2.75715	0.00630051	0.060435173	-1
AT5G53170	8.2167	0.322749	0.00137	0.6469237	0.896591971	0
AT5G02160	8.73264	0.801872	1.19599	0.12800007	0.407287024	0
AT5G49360	9.54398	0.943459	2.18709	0.02028404	0.132027361	0
AT5G11740	8.48837	1.66661	1.59651	0.0768029	0.312111143	0
AT5G47110	7.97806	-1.237155	-1.92126	0.03611343	0.196467851	0
AT5G54380	8.59923	-0.365831	-0.13872	0.46625685	0.768681458	0
AT5G26570	8.56863	-0.158927	0	0.76855835	0.967666729	0
AT5G61410	9.89964	0.341199	0.08699	0.4692523	0.768681458	0
AT5G02380	9.40266	0.253241	0	0.6311773	0.88784929	0
AT5G35630	12.20076	-0.233439	0	0.79433048	0.976364959	0
AT5G11670	8.18965	-0.503904	-0.40488	0.38511945	0.705407234	0
AT5G02500	11.66862	-1.072057	-6.04624	2.81e-06	0.000113687	-1
AT5G62190	7.71956	1.967727	1.36566	0.12905803	0.407287024	0
AT5G01410	8.62105	-0.126766	0	0.8152824	0.98225285	0
AT5G54600	9.19417	0.596287	0.93841	0.18191286	0.489352308	0
AT5G04720	8.01342	-0.980869	-1.46916	0.08267184	0.322011902	0
AT5G54770	13.13858	1.767326	12.25944	0	1.1e-08	1
AT5G54810	8.42706	-0.36525	-0.12766	0.4777967	0.772052953	0
AT5G54710	8.43219	-1.85727	-4.04105	0.00030638	0.006036447	-1
AT5G10180	7.08658	-2.188984	-2.34483	0.01695985	0.121491198	0
AT5G53460	9.95106	-0.427446	-0.50458	0.31047666	0.637570373	0
AT5G01530	12.96273	0.532824	2.22513	0.01865466	0.129516623	0
AT5G40950	8.06216	0.767272	0.52559	0.40877734	0.71980357	0
AT5G04590	9.12656	-0.571823	-0.81168	0.21738797	0.526575695	0
AT5G40890	8.57615	-0.493489	-0.51705	0.31674055	0.641399611	0
AT5G49740	8.28648	-0.122589	0	0.84039812	0.98225285	0
AT5G07020	8.51066	0.448092	0.30026	0.42412014	0.735754762	0
AT5G05010	7.93103	-1.383315	-1.88549	0.03994657	0.206532284	0
AT5G49720	8.89159	-0.930812	-1.77021	0.04647107	0.226257475	0
AT5G49730	9.29919	1.633843	3.21732	0.00214064	0.026449563	1
