rank	gene	score
4221	CKAP2	2.7787105263199504e-05
4222	POU3F4	2.7776884534013054e-05
4223	ERAP1	2.775315596819019e-05
4224	MAFK	2.7743343642713852e-05
4225	KCNE1	2.7723055328815025e-05
4226	MTREX	2.77155387530039e-05
4227	AIMP2	2.7714151473791703e-05
4228	USP49	2.7667379513421795e-05
4229	SAP18	2.7657407593387484e-05
4230	BMF	2.7650709916212175e-05
4231	PPRC1	2.764864581634186e-05
4232	SLC5A2	2.7647218410785007e-05
4233	IQGAP2	2.759414431733089e-05
4234	INPP5K	2.758961888465125e-05
4235	CUL5	2.7573504293558225e-05
4236	STK4	2.7561914099115587e-05
4237	FBXL5	2.7553580605324298e-05
4238	POLR3A	2.75302703415439e-05
4239	HNRNPH2	2.7523755387411073e-05
4240	ASAH1	2.7506625373790825e-05
4241	LIMS1	2.7489762577078412e-05
4242	KRT10	2.7485942770104485e-05
4243	SMARCD3	2.7469075037172467e-05
4244	TAF13	2.7463360652893307e-05
4245	NPC1L1	2.7452609688753643e-05
4246	SNRPB	2.7442653043209582e-05
4247	DCX	2.744202015563557e-05
4248	RPL36	2.744008790796294e-05
4249	TRPS1	2.7437202185231365e-05
4250	SPINK1	2.7434217816426146e-05
4251	GP1BA	2.7427701822302666e-05
4252	SLC34A2	2.7424748286909327e-05
4253	ATXN2	2.7353546280439318e-05
4254	MUC17	2.731672910682803e-05
4255	RPL37A	2.7312801312405155e-05
4256	CTSG	2.7295832404499416e-05
4257	STRN3	2.72868654455404e-05
4258	FGF12	2.7282086658978476e-05
4259	AKAP13	2.7280071259524895e-05
4260	TNFSF12	2.7273683606878927e-05
4261	KARS1	2.7268661217709387e-05
4262	RNF126	2.7263063320019776e-05
4263	RCHY1	2.725617953614855e-05
4264	UGGT1	2.724483653511949e-05
4265	SBDS	2.7209652110806763e-05
4266	DRAP1	2.720175225735904e-05
4267	EIF2S2	2.7187368944283086e-05
4268	CCM2	2.7184242458390034e-05
4269	RPL26L1	2.718405982795548e-05
4270	SNRPD1	2.7164593785507162e-05
4271	FOXH1	2.713601405593273e-05
4272	TAOK1	2.7123897152788858e-05
4273	TAF11	2.711989384361802e-05
4274	FOLR2	2.709959031716052e-05
4275	CDK17	2.7093980427749813e-05
4276	DEFB103A	2.7080230503128444e-05
4277	PFKFB4	2.705893946529822e-05
4278	TKT	2.704655247088689e-05
4279	SELENOP	2.7037467603816987e-05
4280	IL10RB	2.7027293535642943e-05
4281	FMNL1	2.7004413146828483e-05
4282	MPL	2.7001085271631642e-05
4283	OCA2	2.6981517764669702e-05
4284	IQGAP3	2.6978762487680408e-05
4285	LINGO1	2.69766911647103e-05
4286	DDR1	2.6968331707248295e-05
4287	OTUB2	2.6960991615252976e-05
4288	LITAF	2.6937376969197706e-05
4289	NNMT	2.693513588927603e-05
4290	NUB1	2.6891459188458467e-05
4291	HPGD	2.6886249259825467e-05
4292	VPS35	2.6873216797785336e-05
4293	CLEC11A	2.6854910067543346e-05
4294	PIM2	2.684870081973886e-05
4295	ADAMTS3	2.6841094158935226e-05
4296	MNT	2.6835612190246657e-05
4297	LONP2	2.6788974371342127e-05
4298	COX8A	2.6786659695488894e-05
4299	ARHGDIB	2.6771867655526187e-05
4300	WDR62	2.6766325249301552e-05
4301	HOXA7	2.672759867831787e-05
4302	EIF5A	2.672521711469073e-05
4303	DGKZ	2.672326547266438e-05
4304	RAE1	2.6692182273460036e-05
4305	GGA2	2.6685137205777535e-05
4306	IRF9	2.668373230739649e-05
4307	SH3GLB2	2.667282658749345e-05
4308	ST13	2.667207281657048e-05
4309	UBE2L6	2.66534519902548e-05
4310	AVP	2.6651751504520186e-05
4311	RANBP9	2.664206375416732e-05
4312	HOMER2	2.662061977740029e-05
4313	TMSB4X	2.6608062217683954e-05
4314	CCL22	2.659783508879863e-05
4315	ACTR3	2.6590561947805754e-05
4316	ROR1	2.657661155378509e-05
4317	NFX1	2.6569540142991318e-05
4318	UFM1	2.6548603659652122e-05
4319	NUTM1	2.6542190389963863e-05
4320	RTKN	2.6541911268610188e-05
4321	TADA1	2.653394748346295e-05
4322	KIF13A	2.6531867179356993e-05
4323	FABP5	2.652142724894642e-05
4324	PRODH	2.6515988019854258e-05
4325	POLR1D	2.6483437147151398e-05
4326	MRPL11	2.647635217756e-05
4327	ITPKB	2.6472411655758235e-05
4328	MRPL22	2.6452514861390443e-05
4329	IL20	2.6417140235569076e-05
4330	CDK14	2.639332524798895e-05
4331	MED15	2.6391007813017515e-05
4332	CITED2	2.6350626325877206e-05
4333	S1PR2	2.6319029427510677e-05
4334	RAPSN	2.6315204426655062e-05
4335	IRAK4	2.6271428559308212e-05
4336	CD180	2.626365457070568e-05
4337	TNFRSF21	2.625783760695917e-05
4338	PSMG1	2.624755473581049e-05
4339	GIPR	2.62426738427357e-05
4340	ATIC	2.6242036355787772e-05
4341	RPL38	2.6237819071387927e-05
4342	FBXO4	2.6231603256082078e-05
4343	PRDX3	2.6226852992399546e-05
4344	GRSF1	2.6225458451076435e-05
4345	S100A1	2.6225363535856902e-05
4346	RSF1	2.6206802556905996e-05
4347	CIITA	2.6200997411195428e-05
4348	TBC1D1	2.6195524906974226e-05
4349	LGALS9	2.6189616115492493e-05
4350	EGFL7	2.6170045569433035e-05
4351	GRIN1	2.6166042477606654e-05
4352	TRPM6	2.6148594491370053e-05
4353	SMPD1	2.6128574560959616e-05
4354	GADD45G	2.6119586672221035e-05
4355	FBXO11	2.6096760001002434e-05
4356	COL6A1	2.6072190570512333e-05
4357	SUB1	2.6068200363803475e-05
4358	RPL28	2.6060080753889593e-05
4359	ILVBL	2.6042991412601238e-05
4360	TRPV3	2.601690749716963e-05
4361	RPL32	2.600159672388576e-05
4362	PARP10	2.599599503993469e-05
4363	HAS3	2.5966934800095325e-05
4364	EIF6	2.5960042110619085e-05
4365	ADGRB1	2.5949267976090735e-05
4366	SLA	2.593222219143014e-05
4367	SETD1B	2.5920718963812204e-05
4368	LRIG3	2.591975212700997e-05
4369	VARS1	2.591649430750713e-05
4370	SSH1	2.591432685634659e-05
4371	RTF1	2.5899993447630614e-05
4372	PFN2	2.5890917068724848e-05
4373	CKAP4	2.588932667906233e-05
4374	PELI1	2.583839590431124e-05
4375	HRK	2.5835320089272646e-05
4376	CENPH	2.5815214206607075e-05
4377	MED6	2.5810958834042066e-05
4378	TEKTL1	2.5805588984931764e-05
4379	SYT1	2.5790195691540797e-05
4380	TRPC4AP	2.5779472131033076e-05
4381	NR4A3	2.5776663252888455e-05
4382	BMP6	2.5771304621887615e-05
4383	GAK	2.5762514496287233e-05
4384	APLP1	2.5762414945939613e-05
4385	PROX1	2.5758783658997947e-05
4386	PTK7	2.575187009976743e-05
4387	UQCRFS1	2.5731440573600614e-05
4388	NXF1	2.5729525775139132e-05
4389	FUBP3	2.5724712779328334e-05
4390	EIF2B2	2.5704492638079507e-05
4391	APBB2	2.5695954153866977e-05
4392	ENPP1	2.5694791247807287e-05
4393	MC1R	2.5679670165639907e-05
4394	HPN	2.5679075150545135e-05
4395	MRPS2	2.567301124328482e-05
4396	TNFRSF12A	2.566966556964842e-05
4397	DYNLL2	2.5656845715540035e-05
4398	ACOT8	2.564058994111929e-05
4399	PKHD1	2.561724598829985e-05
4400	STING1	2.5615275950428104e-05
4401	CYTH3	2.560487272564029e-05
4402	CRH	2.5577683872520075e-05
4403	CALB1	2.5553337382176003e-05
4404	GAB3	2.555046404788935e-05
4405	SMG7	2.5537713918526994e-05
4406	ATP6	2.5533034773807858e-05
4407	AP3M1	2.5523943331285227e-05
4408	SBF1	2.551745175949675e-05
4409	PPL	2.550773061676788e-05
4410	SCO2	2.5507642236548626e-05
4411	FXR2	2.5475421504840074e-05
4412	FNDC5	2.544355124023524e-05
4413	WDR26	2.5427588612644325e-05
4414	UBE3C	2.542168722122397e-05
4415	SMYD1	2.542146696498662e-05
4416	ABCB5	2.540705542421831e-05
4417	ADORA1	2.5404632808732145e-05
4418	CNOT4	2.5404089092496817e-05
4419	ACKR4	2.5391326908428412e-05
4420	LRRC59	2.5384036247017028e-05
4421	ESCO1	2.5375638930903695e-05
4422	ENY2	2.537303491653255e-05
4423	MRPL24	2.5354207585762922e-05
4424	TROAP	2.5330446046141682e-05
4425	CCL16	2.5315611276267967e-05
4426	CACNA1D	2.530628168165912e-05
4427	PDZK1	2.530283655160509e-05
4428	CYP2B6	2.5298885000695094e-05
4429	TAF4B	2.5295666813081965e-05
4430	COL6A2	2.529249595744721e-05
4431	CCN4	2.5274121471245662e-05
4432	PTPRU	2.527138882644139e-05
4433	IQSEC1	2.526777999077882e-05
4434	NUP85	2.5260759462153876e-05
4435	STAU1	2.522225367249536e-05
4436	PDS5A	2.520509645216663e-05
4437	MED31	2.51709883551459e-05
4438	GDF11	2.5165703974302538e-05
4439	RPP38	2.515991747198738e-05
4440	RAB31	2.514844540264646e-05
4441	PEF1	2.5147480504898757e-05
4442	ARFGEF2	2.5111487189160346e-05
4443	SLC17A7	2.5093674509249495e-05
4444	NOX5	2.5057356646073047e-05
4445	TECR	2.5056186050566553e-05
4446	PTPRT	2.5054142305890315e-05
4447	GNAO1	2.5029139988541193e-05
4448	RANBP3	2.502653794304593e-05
4449	MLKL	2.501533978172656e-05
4450	CTNNBIP1	2.5013621825826188e-05
4451	TTC5	2.5012338388377595e-05
4452	CLPB	2.5002768131788145e-05
4453	MEMO1	2.5002379389683608e-05
4454	PTPN18	2.4990259922192012e-05
4455	MED24	2.498441582848e-05
4456	PYDC1	2.4974272089171515e-05
